source,target,weight,relationship
Eric Xing,Pradeep Ravikumar,1,Committee
John Lafferty,Pradeep Ravikumar,1,Chair
Carlos Guestrin,Pradeep Ravikumar,1,Committee
Martin Wainwright,Pradeep Ravikumar,1,Committee
Ruslan Salakhutdinov,Junier Oliva,1,Committee
Barnabás Póczos,Junier Oliva,1,Advisor
Jeff Schneider,Junier Oliva,1,Advisor
Le Song,Junier Oliva,1,Committee
Aarti Singh,Kirthevasan Kandasamy,1,Committee
Barnabás Póczos,Kirthevasan Kandasamy,1,Advisor
Jeff Schneider,Kirthevasan Kandasamy,1,Advisor
Zoubin Ghahramani,Kirthevasan Kandasamy,1,Committee
Larry Wasserman,Aaditya Ramdas,1,Advisor
Aarti Singh,Aaditya Ramdas,1,Advisor
Ryan Tibshirani,Aaditya Ramdas,1,Committee
Michael Jordan,Aaditya Ramdas,1,Committee
Arthur Gretton,Aaditya Ramdas,1,Committee
Ryan Tibshirani,Alnur Ali,1,Advisor
Sivaraman Balakrishnan,Alnur Ali,1,Committee
Ameet Talwalkar,Alnur Ali,1,Committee
John Duchi,Alnur Ali,1,Committee
Zico Kolter,Alnur Ali,1,Advisor
Aarti Singh,Simon Du,1,Advisor
Barnabás Póczos,Simon Du,1,Advisor
Ruslan Salakhutdinov,Simon Du,1,Committee
Michael Jordan,Simon Du,1,Committee
Eric Xing,Xun Zheng,1,Advisor
Pradeep Ravikumar,Xun Zheng,1,Advisor
Clark Glymour,Xun Zheng,1,Committee
Kun Zhang,Xun Zheng,1,Committee
Raquel Urtasun,Xun Zheng,1,Committee
Ruslan Salakhutdinov,Hongyang Zhang,1,Committee
Maria-Florina Balcan,Hongyang Zhang,1,Advisor
David Woodruff,Hongyang Zhang,1,Advisor
Barnabás Póczos,Manzil Zaheer,1,Advisor
Ruslan Salakhutdinov,Manzil Zaheer,1,Advisor
Geoffrey Gordon,Manzil Zaheer,1,Committee
Alex Smola,Manzil Zaheer,1,Committee
Andrew McCallum,Manzil Zaheer,1,Committee
Ruslan Salakhutdinov,Carl Doersch,1,Committee
Abhinav Gupta,Carl Doersch,1,Advisor
Alexei Efros,Carl Doersch,1,Committee
Trevor Darrell,Carl Doersch,1,Committee
Michael Tarr,Yang Xu,1,Advisor
Robert Kass,Yang Xu,1,Advisor
Aarti Singh,Yang Xu,1,Committee
Avniel Ghuman,Yang Xu,1,Committee
Christos Faloutsos,Mary McGlohon,1,Advisor
Geoffrey Gordon,Mary McGlohon,1,Committee
Alan Montgomery,Mary McGlohon,1,Advisor
David Jensen,Mary McGlohon,1,Committee
Ryan Tibshirani,Veeranjaneyulu Sadhanala,1,Advisor
Aarti Singh,Veeranjaneyulu Sadhanala,1,Committee
Larry Wasserman,Veeranjaneyulu Sadhanala,1,Committee
Dejan Slepcev,Veeranjaneyulu Sadhanala,1,Committee
James Sharpnack,Veeranjaneyulu Sadhanala,1,Committee
Aarti Singh,Yining Wang,1,Advisor
Larry Wasserman,Yining Wang,1,Committee
Sivaraman Balakrishnan,Yining Wang,1,Committee
Robert Nowak,Yining Wang,1,Committee
Eric Xing,Bin Zhao,1,Advisor
Alex Hauptmann,Bin Zhao,1,Committee
Tom Mitchell,Bin Zhao,1,Committee
Kristen Grauman,Bin Zhao,1,Committee
Christos Faloutsos,Bryan Hooi,1,Advisor
Leman Akoglu,Bryan Hooi,1,Committee
Vipin Kumar,Bryan Hooi,1,Committee
David Choi,Bryan Hooi,1,Committee
Seyoung Kim,Calvin McCarter,1,Advisor
Pradeep Ravikumar,Calvin McCarter,1,Committee
Kathryn Roader,Calvin McCarter,1,Committee
Dietrich Stephan,Calvin McCarter,1,Committee
Geoffrey Gordon,Carlton Downey,1,Advisor
Ruslan Salakhutdinov,Carlton Downey,1,Committee
Byron Boots,Carlton Downey,1,Committee
Arthur Gretton,Carlton Downey,1,Committee
Barnabás Póczos,Chun-Liang Li,1,Advisor
Jeff Schneider,Chun-Liang Li,1,Committee
Ruslan Salakhutdinov,Chun-Liang Li,1,Committee
Jeff Schneider,Chun-Liang Li,1,Committee
Phillip Isola,Chun-Liang Li,1,Committee
Cosma Shalizi,George Montañez,1,Advisor
Geoffrey Gordon,George Montañez,1,Committee
Roni Rosenfeld,George Montañez,1,Committee
Milos Hauskrecht,George Montañez,1,Committee
Geoffrey Gordon,Han Zhao,1,Advisor
Barnabás Póczos,Han Zhao,1,Committee
Ruslan Salakhutdinov,Han Zhao,1,Committee
Tommi Jaakkola,Han Zhao,1,Committee
Tom Mitchell,Leila Wehbe,1,Advisor
Cosma Shalizi,Leila Wehbe,1,Committee
Eduard Hovy,Leila Wehbe,1,Committee
Jack Gallant,Leila Wehbe,1,Committee
Brian Murphy,Leila Wehbe,1,Committee
Ameet Talwalkar,Liam Li,1,Advisor
Jeff Schneider,Liam Li,1,Committee
Maria-Florina Balcan,Liam Li,1,Committee
Kavin Jamieson,Liam Li,1,Committee
Eric Xing,Pengtao Xie,1,Advisor
Pradeep Ravikumar,Pengtao Xie,1,Committee
Ruslan Salakhutdinov,Pengtao Xie,1,Committee
Ryan Adams,Pengtao Xie,1,Committee
David Sontag,Pengtao Xie,1,Committee
Barnabás Póczos,Shashank Singh,1,Advisor
Larry Wasserman,Shashank Singh,1,Committee
Ryan Tibshirani,Shashank Singh,1,Committee
Bharath Sriperumbudur,Shashank Singh,1,Committee
Eric Xing,Willie Neiswanger,1,Advisor
Jeff Schneider,Willie Neiswanger,1,Committee
Ruslan Salakhutdinov,Willie Neiswanger,1,Committee
Ryan Adams,Willie Neiswanger,1,Committee
Yee Whye Teh,Willie Neiswanger,1,Committee
