source,target,other,weight,relationship,community,community_color
Aaditya Ramdas,Aarti Singh,0,2,Co-Advised,1,#E48F72
Aarti Singh,Alessandro Rinaldo,0,2,Co-Advised,1,#E48F72
Aarti Singh,Arthur Gretton,0,4,Co-Committee,1,#E48F72
Aarti Singh,Artur Dubrawski,0,2,Co-Advised,0,grey
Aarti Singh,Avniel Ghuman,0,2,Co-Committee,0,grey
Aarti Singh,Barnabás Póczos,0,2,Co-Advised,0,grey
Aarti Singh,Barnabás Póczos,1,4,Co-Committee,0,grey
Aarti Singh,Cosma Shalizi,0,2,Co-Committee,0,grey
Aarti Singh,Dejan Slepcev,0,2,Co-Committee,0,grey
Aarti Singh,Eric Xing,0,4,Co-Committee,0,grey
Aarti Singh,Ery Arias-Castro,0,2,Co-Committee,1,#E48F72
Aarti Singh,Francis Bach,0,2,Co-Committee,1,#E48F72
Aarti Singh,Gary Miller,0,2,Co-Committee,1,#E48F72
Aarti Singh,Geoffrey Gordon,0,2,Co-Committee,0,grey
Aarti Singh,James Sharpnack,0,2,Co-Committee,0,grey
Aarti Singh,Jeff Schneider,0,6,Co-Committee,0,grey
Aarti Singh,John Lafferty,0,2,Co-Committee,1,#E48F72
Aarti Singh,John Langford,0,2,Co-Committee,1,#E48F72
Aarti Singh,Joseph Kadane,0,2,Co-Committee,1,#E48F72
Aarti Singh,Larry Wasserman,0,2,Co-Advised,1,#E48F72
Aarti Singh,Larry Wasserman,1,12,Co-Committee,1,#E48F72
Aarti Singh,Liam Paninski,0,2,Co-Committee,0,grey
Aarti Singh,Michael Jordan,0,4,Co-Committee,1,#E48F72
Aarti Singh,Michael Tarr,0,2,Co-Committee,0,grey
Aarti Singh,Ming Yuan,0,2,Co-Committee,1,#E48F72
Aarti Singh,Nihar Shah,0,2,Co-Advised,1,#E48F72
Aarti Singh,Pradeep Ravikumar,0,2,Co-Committee,0,grey
Aarti Singh,Robert Kass,0,4,Co-Committee,0,grey
Aarti Singh,Robert Nowak,0,2,Co-Committee,1,#E48F72
Aarti Singh,Ruslan Salakhutdinov,0,2,Co-Committee,0,grey
Aarti Singh,Ryan Tibshirani,0,4,Co-Committee,0,grey
Aarti Singh,Sivaraman Balakrishnan,0,4,Co-Committee,1,#E48F72
Aarti Singh,Zoubin Ghahramani,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Adam Smith,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Ashley Naimi,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Edward Kennedy,0,2,Co-Committee,0,grey
