source,target,weight,relationship,joint_community,joint_community_color
Aaditya Ramdas,Aarti Singh,2,Co-Advised,1,"rgb(55,126,184)"
Aarti Singh,Barnabás Póczos,4,Co-Advised,1,"rgb(55,126,184)"
Aarti Singh,Eric Xing,4,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Jeff Schneider,4,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Larry Wasserman,8,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Manuela Veloso,2,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Michael Tarr,2,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Nihar Shah,2,Co-Advised,1,"rgb(55,126,184)"
Aarti Singh,Robert Kass,2,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Roni Rosenfeld,8,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Ruslan Salakhutdinov,2,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Ryan Tibshirani,4,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Sivaraman Balakrishnan,2,Co-Committee,1,"rgb(55,126,184)"
Aarti Singh,Tom Mitchell,10,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Artur Dubrawski,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Clark Glymour,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Eric Xing,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Geoffrey Gordon,6,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Jeff Schneider,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Kun Zhang,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Larry Wasserman,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Manuela Veloso,4,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Roni Rosenfeld,22,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Ruslan Salakhutdinov,8,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Ryan Tibshirani,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Seyoung Kim,2,Co-Committee,1,"rgb(55,126,184)"
Barnabás Póczos,Tom Mitchell,4,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Alex Hauptmann,2,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Christos Faloutsos,2,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Clark Glymour,4,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Ding Zhao,2,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Geoffrey Gordon,6,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Jeff Schneider,4,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Kun Zhang,4,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Larry Wasserman,4,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Manuela Veloso,6,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Pradeep Ravikumar,2,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Roni Rosenfeld,10,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Ruslan Salakhutdinov,6,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Seyoung Kim,2,Co-Advised,1,"rgb(55,126,184)"
Eric Xing,Tom Mitchell,8,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,William Cohen,2,Co-Committee,1,"rgb(55,126,184)"
Eric Xing,Ziv Bar-Joseph,2,Co-Committee,1,"rgb(55,126,184)"
Jeff Schneider,Ameet Talwalkar,2,Co-Committee,1,"rgb(55,126,184)"
