source,target,other,weight,relationship,community,community_color
Aaditya Ramdas,Aarti Singh,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Aarti Singh,1,1,Advisor,1,#E48F72
Aaditya Ramdas,Collin Politsch,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Han Liu,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Ivan Stelmakh,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,James Sharpnack,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Jisu Kim,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Kwhangho Kim,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Ojash Neopane,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Ojash Neopane,1,1,Advisor,1,#E48F72
Aaditya Ramdas,Simon Du,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Stefani Karp,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Yichong Xu,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Yining Wang,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Yusha Liu,0,2,Co-Advised,1,#E48F72
Aaditya Ramdas,Larry Wasserman,0,1,Advisor,1,#E48F72
Aaditya Ramdas,Chirag Gupta,0,1,Advisor,1,#E48F72
Aarti Singh,Alessandro Rinaldo,0,2,Co-Advised,1,#E48F72
Aarti Singh,Arthur Gretton,0,4,Co-Committee,1,#E48F72
Aarti Singh,Artur Dubrawski,0,2,Co-Advised,0,grey
Aarti Singh,Avniel Ghuman,0,2,Co-Committee,0,grey
Aarti Singh,Barnabás Póczos,0,2,Co-Advised,0,grey
Aarti Singh,Barnabás Póczos,1,4,Co-Committee,0,grey
Aarti Singh,Cosma Shalizi,0,2,Co-Committee,0,grey
Aarti Singh,Dejan Slepcev,0,2,Co-Committee,1,#E48F72
Aarti Singh,Eric Xing,0,4,Co-Committee,0,grey
Aarti Singh,Ery Arias-Castro,0,2,Co-Committee,1,#E48F72
Aarti Singh,Francis Bach,0,2,Co-Committee,1,#E48F72
Aarti Singh,Gary Miller,0,2,Co-Committee,1,#E48F72
Aarti Singh,Geoffrey Gordon,0,2,Co-Committee,0,grey
Aarti Singh,James Sharpnack,0,2,Co-Committee,1,#E48F72
Aarti Singh,James Sharpnack,1,1,Advisor,1,#E48F72
Aarti Singh,Jeff Schneider,0,6,Co-Committee,0,grey
Aarti Singh,John Lafferty,0,2,Co-Committee,0,grey
Aarti Singh,John Langford,0,2,Co-Committee,1,#E48F72
Aarti Singh,Joseph Kadane,0,2,Co-Committee,1,#E48F72
Aarti Singh,Larry Wasserman,0,2,Co-Advised,1,#E48F72
Aarti Singh,Larry Wasserman,1,12,Co-Committee,1,#E48F72
Aarti Singh,Liam Paninski,0,2,Co-Committee,0,grey
Aarti Singh,Michael Jordan,0,4,Co-Committee,1,#E48F72
Aarti Singh,Michael Tarr,0,2,Co-Committee,0,grey
Aarti Singh,Ming Yuan,0,2,Co-Committee,1,#E48F72
Aarti Singh,Nihar Shah,0,2,Co-Advised,1,#E48F72
Aarti Singh,Pradeep Ravikumar,0,2,Co-Committee,0,grey
Aarti Singh,Robert Kass,0,4,Co-Committee,0,grey
Aarti Singh,Robert Nowak,0,2,Co-Committee,1,#E48F72
Aarti Singh,Ruslan Salakhutdinov,0,2,Co-Committee,0,grey
Aarti Singh,Ryan Tibshirani,0,4,Co-Committee,0,grey
Aarti Singh,Sivaraman Balakrishnan,0,4,Co-Committee,1,#E48F72
Aarti Singh,Zoubin Ghahramani,0,2,Co-Committee,0,grey
Aarti Singh,Simon Du,0,1,Advisor,1,#E48F72
Aarti Singh,Yining Wang,0,1,Advisor,1,#E48F72
Aarti Singh,Yichong Xu,0,1,Advisor,1,#E48F72
Aarti Singh,Stefani Karp,0,1,Advisor,1,#E48F72
Aarti Singh,Yusha Liu,0,1,Advisor,1,#E48F72
Aarti Singh,Ojash Neopane,0,1,Advisor,1,#E48F72
Aarti Singh,Ivan Stelmakh,0,1,Advisor,1,#E48F72
Alessandro Rinaldo,Adam Smith,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Ashley Naimi,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Edward Kennedy,0,2,Co-Committee,0,grey
Alessandro Rinaldo,Ery Arias-Castro,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Frederic Chazal,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Gary Miller,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Jessi Cisewski,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Jose Zubizarreta,0,2,Co-Committee,1,#E48F72
Alessandro Rinaldo,Larry Wasserman,0,2,Co-Advised,1,#E48F72
Alessandro Rinaldo,Larry Wasserman,1,6,Co-Committee,1,#E48F72
Alessandro Rinaldo,Sivaraman Balakrishnan,0,4,Co-Committee,1,#E48F72
Alessandro Rinaldo,Stephen Fienberg,0,2,Co-Committee,0,grey
Alessandro Rinaldo,James Sharpnack,0,1,Advisor,1,#E48F72
Alessandro Rinaldo,Jisu Kim,0,1,Advisor,1,#E48F72
Arthur Gretton,Byron Boots,0,2,Co-Committee,0,grey
Arthur Gretton,Eric Xing,0,2,Co-Committee,0,grey
Arthur Gretton,Geoffrey Gordon,0,2,Co-Committee,0,grey
Arthur Gretton,Jeff Schneider,0,2,Co-Committee,0,grey
Arthur Gretton,Larry Wasserman,0,2,Co-Committee,1,#E48F72
Arthur Gretton,Michael Jordan,0,2,Co-Committee,1,#E48F72
Arthur Gretton,Ruslan Salakhutdinov,0,2,Co-Committee,0,grey
Arthur Gretton,Ryan Tibshirani,0,2,Co-Committee,0,grey
Artur Dubrawski,Adam Kalai,0,2,Co-Committee,0,grey
Artur Dubrawski,Alex Smola,0,2,Co-Committee,0,grey
Artur Dubrawski,Alexandra Chouldechova,0,2,Co-Advised,0,grey
Artur Dubrawski,Andreas Krause,0,2,Co-Committee,0,grey
Artur Dubrawski,Barnabás Póczos,0,2,Co-Committee,0,grey
Artur Dubrawski,Dan Jurafsky,0,2,Co-Committee,0,grey
Artur Dubrawski,Geoffrey Gordon,0,6,Co-Committee,0,grey
Artur Dubrawski,Jeff Schneider,0,2,Co-Committee,0,grey
Artur Dubrawski,John Langford,0,2,Co-Committee,0,grey
Artur Dubrawski,Mario Berges,0,2,Co-Committee,0,grey
Artur Dubrawski,Noah Smith,0,2,Co-Committee,0,grey
Artur Dubrawski,Roni Rosenfeld,0,2,Co-Committee,0,grey
Artur Dubrawski,Simon Labov,0,2,Co-Committee,0,grey
Artur Dubrawski,Sivaraman Balakrishnan,0,2,Co-Committee,0,grey
Artur Dubrawski,Tom Mitchell,0,2,Co-Committee,0,grey
Artur Dubrawski,Xiaojin Zhu,0,2,Co-Committee,0,grey
Artur Dubrawski,Eric Lei,0,1,Advisor,18,#FF0092
Artur Dubrawski,Madalina Fiterau-Brostean,0,1,Advisor,18,#FF0092
Artur Dubrawski,Maria De Arteaga Gonzalez,0,1,Advisor,18,#FF0092
Artur Dubrawski,Yichong Xu,0,1,Advisor,0,grey
Artur Dubrawski, Ifigeneia Apostolopoulou,0,1,Advisor,18,#FF0092
Artur Dubrawski,Sebastian Caldas,0,1,Advisor,18,#FF0092
Artur Dubrawski,Cristian Challu,0,1,Advisor,18,#FF0092
Artur Dubrawski,Kin Gutierrez Olivares,0,1,Advisor,18,#FF0092
Avniel Ghuman,Christopher Baker,0,2,Co-Committee,21,#86CE00
Avniel Ghuman,Max G'Sell,0,2,Co-Advised,21,#86CE00
Avniel Ghuman,Michael Tarr,0,2,Co-Committee,0,grey
Avniel Ghuman,Robert Kass,0,4,Co-Committee,0,grey
Avniel Ghuman,Yuanning Li,0,1,Advisor,21,#86CE00
Barnabás Póczos,Aleksander Madry,0,2,Co-Committee,0,grey
Barnabás Póczos,Alex Smola,0,2,Co-Advised,0,grey
Barnabás Póczos,Alex Smola,1,2,Co-Committee,0,grey
Barnabás Póczos,Andrew McCallum,0,2,Co-Committee,0,grey
Barnabás Póczos,Benjamin Recht,0,2,Co-Committee,0,grey
Barnabás Póczos,Benjamin Van Roy,0,2,Co-Committee,0,grey
