id,entity_type,entity_subtype,degree,pagerank,community,community_color,display
Aaditya Ramdas,faculty,core,17,0.0038409596834842775,1,#E48F72,element
Aarti Singh,faculty,core,42,0.012254352617594388,1,#E48F72,element
Alessandro Rinaldo,faculty,affiliated,15,0.0043342465564876875,1,#E48F72,element
Arthur Gretton,faculty,unknown,9,0.002526689127734399,1,#E48F72,element
Artur Dubrawski,faculty,affiliated,25,0.006175272008534771,18,#FF0092,element
Avniel Ghuman,faculty,unknown,6,0.0022471365772446872,21,#86CE00,element
Barnabás Póczos,faculty,core,49,0.01395817424960795,2,#FD3216,element
Cosma Shalizi,faculty,core,19,0.005811473314913832,35,"rgb(1,1,1)",element
Dejan Slepcev,faculty,unknown,4,0.0011777667720273065,1,#E48F72,element
Eric Xing,faculty,core,59,0.015546924460266218,5,#FED4C4,element
Ery Arias-Castro,faculty,unknown,4,0.0012448644648418421,1,#E48F72,element
Francis Bach,faculty,unknown,3,0.0009803054824322982,1,#E48F72,element
Gary Miller,faculty,affiliated,4,0.0012448644648418421,1,#E48F72,element
Geoffrey Gordon,faculty,core,74,0.026703014544058903,3,#00FE35,element
James Sharpnack,faculty,unknown,15,0.0033815271874522374,1,#E48F72,element
Jeff Schneider,faculty,core,38,0.01075463857954366,2,#FD3216,element
John Lafferty,faculty,unknown,22,0.006517569616322965,14,#6E899C,element
John Langford,faculty,unknown,3,0.0009985357496773517,1,#E48F72,element
Joseph Kadane,faculty,unknown,5,0.0014538003510847193,1,#E48F72,element
Larry Wasserman,faculty,core,51,0.016941454644583635,1,#E48F72,element
Liam Paninski,faculty,unknown,3,0.0010340531006889338,3,#00FE35,element
Michael Jordan,faculty,unknown,6,0.0018228585253134547,1,#E48F72,element
Michael Tarr,faculty,related,10,0.0026919945939707767,7,#0DF9FF,element
Ming Yuan,faculty,unknown,3,0.0009994275606099354,1,#E48F72,element
Nihar Shah,faculty,core,7,0.002256161323897327,1,#E48F72,element
Pradeep Ravikumar,faculty,core,31,0.006930776679545419,8,#F6F926,element
Robert Kass,faculty,core,27,0.008162058266984637,7,#0DF9FF,element
Robert Nowak,faculty,unknown,3,0.0009836343553804648,1,#E48F72,element
Ruslan Salakhutdinov,faculty,core,40,0.012107736214146826,9,#FF9616,element
Ryan Tibshirani,faculty,core,31,0.007741525983994998,15,#00B5F7,element
Sivaraman Balakrishnan,faculty,affiliated,17,0.005305725252780611,1,#E48F72,element
Zoubin Ghahramani,faculty,unknown,14,0.0037776313951612493,14,#6E899C,element
Abhinav Gupta,faculty,affiliated,5,0.002132243473522695,36,"rgb(1,1,1)",element
Alexei Efros,faculty,unknown,3,0.001427676528864744,0,"rgb(1,1,1)",element
Trevor Darrell,faculty,unknown,3,0.001427676528864744,0,"rgb(1,1,1)",element
Adam Kalai,faculty,unknown,3,0.0010984276379072903,19,#22FFA7,element
Alexandra Chouldechova,faculty,unknown,9,0.0022871391913488748,19,#22FFA7,element
Roni Rosenfeld,faculty,core,24,0.008038550113071447,19,#22FFA7,element
Adam Kohn,faculty,unknown,4,0.001422190518106045,10,#479B55,element
Byron Yu,faculty,affiliated,18,0.006336751909637497,10,#479B55,element
Maneesh Sahani,faculty,unknown,5,0.0019596805511136687,10,#479B55,element
Matthew Smith,faculty,unknown,7,0.0023607351368310396,10,#479B55,element
Adam Smith,faculty,unknown,6,0.0019509810104823982,1,#E48F72,element
Alex Smola,faculty,unknown,26,0.007731835561377057,16,#B68E00,element
Jing Lei,faculty,unknown,6,0.0016037437115894043,15,#00B5F7,element
Stephen Fienberg,faculty,unknown,20,0.0061730270613065425,20,#E3EE9E,element
Akshaya Jha,faculty,unknown,4,0.0015877211831360912,0,"rgb(1,1,1)",element
Andrew Wilson,faculty,unknown,4,0.0015877211831360912,0,"rgb(1,1,1)",element
Daniel Neill,faculty,unknown,12,0.00401529548946633,16,#B68E00,element
Leman Akoglu,faculty,affiliated,8,0.003019229234750978,28,"rgb(1,1,1)",element
Alan Montgomery,faculty,core,4,0.001258289495340296,6,#FE00CE,element
Christos Faloutsos,faculty,core,34,0.010460697033244128,6,#FE00CE,element
David Jensen,faculty,unknown,6,0.0019504020534222076,25,"rgb(1,1,1)",element
Aleksander Madry,faculty,unknown,3,0.0010860127374577046,0,"rgb(1,1,1)",element
Matt Fredrikson,faculty,unknown,3,0.0010860127374577046,0,"rgb(1,1,1)",element
Zico Kolter,faculty,affiliated,23,0.004625117976245931,12,#DC587D,element
Ashley Naimi,faculty,unknown,5,0.0014984914238929652,1,#E48F72,element
Edward Kennedy,faculty,unknown,9,0.002312275344335101,19,#22FFA7,element
Frederic Chazal,faculty,unknown,4,0.0012345612763057178,1,#E48F72,element
Jessi Cisewski,faculty,unknown,7,0.0022259283206917573,1,#E48F72,element
Jose Zubizarreta,faculty,unknown,5,0.0014984914238929652,1,#E48F72,element
