name,title,entity_type,faculty_type
Amir Barati Farimani,"Assistant Professor, Mechanical Engineering",faculty,related
Alfred Blumstein,"J. Erik Jonsson University Professor Emeritus, Urban Systems & Operations Research, Heinz College of Information Systems and Public Policy",faculty,related
Hartmut Geyer,"Associate Professor, Robotics Institute, School of Computer Science",faculty,related
Joel Greenhouse,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",faculty,related
Alex Hauptmann,"Research Professor, Language Technologies Institute, School of Computer Science",faculty,related
Brian Junker,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",faculty,related
Marcel Just,"Director, Center for Cognitive Brain Imaging/ D O Hebb Professor, Psychology, Dietrich College of Humanities and Social Sciences",faculty,related
Jay Kadane,"Leonard J. Savage Professor Emeritus, Statistics, Dietrich College of Humanities and Social Sciences",faculty,related
Ramayya Krishnan,"Professor & Dean, Engineering & Public Policy, Heinz College of Information Systems and Public Policy",faculty,related
Mark Schervish,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",faculty,related
Michael Tarr,"Professor & Department Head, Psychology, Dietrich College of Humanities and Social Sciences",faculty,related
Dave Touretzky,"Research Professor, Computer Science & Center for the Neural Basis of Cognition, School of Computer Science",faculty,related
Isabella Verdinelli,"Professor in Residence, Statistics, Dietrich College of Humanities and Social Sciences",faculty,related
Joel Welling,"Senior Scientific Specialist, Pittsburgh Supercomputing Center",faculty,related
Alex Waibel,"Professor, Language Technologies Institute, School of Computer Science",faculty,related
Ding Zhao,"Assistant Professor, Mechanical Engineering Department",faculty,related
