alumni_match,faculty_match,faculty_role
Mary McGlohon,Christos Faloutsos,Chair
Jurij Leskovec,Christos Faloutsos,Chair
Zhenzhen Kou,William Cohen,Chair
Brent Bryan,Jeff Schneider,Chair
Jurij Leskovec,Christos Faloutsos,Chair
Mary McGlohon,Christos Faloutsos,Chair
Pradeep Ravikumar,Pradeep Ravikumar,Chair
Brent Bryan,Jeff Schneider,Chair
Brent Bryan,Jeff Schneider,Chair
Byron Boots,Geoffrey Gordon,Chair
Suyash Shringarpure,Eric Xing,Chair
Suyash Shringarpure,Eric Xing,Non-chair
Andy Carlson,Tom Mitchell,Chair
Ajit Singh,Geoffrey Gordon,Chair
Deepayan Chakrabarti,Christos Faloutsos,Chair
Jurij Leskovec,Christos Faloutsos,Chair
Jurij Leskovec,Christos Faloutsos,Chair
Kaustav Das,Jeff Schneider,Chair
Yi Zhang,Jeff Schneider,Chair
Yi Zhang,Artur Dubrawski,Non-chair
Suyash Shringarpure,Eric Xing,Chair
Qirong Ho,Eric Xing,Chair
Qirong Ho,Eric Xing,Chair
Jisu Kim,Eric Xing,Chair
Qirong Ho,Eric Xing,Chair
Qirong Ho,Christos Faloutsos,Non-chair
Qirong Ho,William Cohen,Non-chair
Bin Zhao,Eric Xing,Chair
Bin Zhao,Tom Mitchell,Non-chair
Bin Zhao,Alex Hauptmann,Non-chair
Wooyoung Lee,Geoffrey Gordon,Chair
Alona Fyshe,Tom Mitchell,Chair
Alona Fyshe,Marcel Just,Non-chair
Alona Fyshe,Byron Yu,Non-chair
Alona Fyshe,Tom Mitchell,Non-chair
Aaditya Ramdas,Larry Wasserman,Chair
Aaditya Ramdas,Aarti Singh,Chair
Aaditya Ramdas,Ryan Tibshirani,Non-chair
Aaditya Ramdas,Tom Mitchell,Non-chair
Ankur Parikh,Eric Xing,Chair
Ankur Parikh,Geoffrey Gordon,Non-chair
Ankur Parikh,Tom Mitchell,Non-chair
Min Xu,Aarti Singh,Chair
Min Xu,Tom Mitchell,Non-chair
Leila Wehbe,Tom Mitchell,Chair
Leila Wehbe,Eduard Hovy,Non-chair
Leila Wehbe,Cosma Shalizi,Non-chair
Leila Wehbe,Tom Mitchell,Non-chair
Madalina Fiterau-Brostean,Artur Dubrawski,Chair
Madalina Fiterau-Brostean,Geoffrey Gordon,Non-chair
Madalina Fiterau-Brostean,Tom Mitchell,Non-chair
Will Bishop,Byron Yu,Chair
Will Bishop,Robert Kass,Non-chair
Will Bishop,Tom Mitchell,Non-chair
Matthew Wytock,Ryan Tibshirani,Chair
Matthew Wytock,Geoffrey Gordon,Non-chair
Matthew Wytock,Tom Mitchell,Non-chair
Robert Fisher,Reid Simmons,Chair
Robert Fisher,Geoffrey Gordon,Non-chair
Robert Fisher,Manuela Veloso,Non-chair
Carl Doersch,Abhinav Gupta,Chair
Carl Doersch,Ruslan Salakhutdinov,Non-chair
Carl Doersch,Manuela Veloso,Non-chair
George Montañez,Cosma Shalizi,Chair
George Montañez,Roni Rosenfeld,Non-chair
George Montañez,Geoffrey Gordon,Non-chair
George Montañez,Manuela Veloso,Non-chair
Yifei Ma,Jeff Schneider,Chair
Yifei Ma,Aarti Singh,Non-chair
Yifei Ma,Manuela Veloso,Non-chair
Sashank Jakkam Reddi,Geoffrey Gordon,Chair
Sashank Jakkam Reddi,Manuela Veloso,Non-chair
Kirstin Early,Barnabás Póczos,Chair
Kirstin Early,Manuela Veloso,Non-chair
Jing Xiang,Seyoung Kim,Chair
Jing Xiang,Geoffrey Gordon,Non-chair
Jing Xiang,Manuela Veloso,Non-chair
Yu-Xiang Wang,Ryan Tibshirani,Chair
Yu-Xiang Wang,Manuela Veloso,Non-chair
Wei (David) Dai,Eric Xing,Chair
Wei (David) Dai,Manuela Veloso,Non-chair
Ahmed Hefny,Geoffrey Gordon,Chair
Ahmed Hefny,Eric Xing,Non-chair
Ahmed Hefny,Manuela Veloso,Non-chair
Benjamin Cowley,Geoffrey Gordon,Chair
Benjamin Cowley,Manuela Veloso,Non-chair
Pradeep Ravikumar,Pradeep Ravikumar,Chair
Pradeep Ravikumar,Geoffrey Gordon,Non-chair
Pradeep Ravikumar,Barnabás Póczos,Non-chair
Pradeep Ravikumar,Manuela Veloso,Non-chair
Shing-hon Lau,Roy Maxion,Chair
Shing-hon Lau,Tom Mitchell,Non-chair
Shing-hon Lau,Manuela Veloso,Non-chair
Junier Oliva,Barnabás Póczos,Chair
Junier Oliva,Jeff Schneider,Chair
Junier Oliva,Ruslan Salakhutdinov,Non-chair
Junier Oliva,Roni Rosenfeld,Non-chair
Pengtao Xie,Eric Xing,Chair
Pengtao Xie,Ruslan Salakhutdinov,Non-chair
