alumni_match,faculty_match,faculty_role
Zhenzhen Kou,William Cohen,Chair
Leila Wehbe,Tom Mitchell,Chair
Leila Wehbe,Eduard Hovy,Non-chair
Leila Wehbe,Cosma Shalizi,Non-chair
Leila Wehbe,Leila Wehbe,Non-chair
Leila Wehbe,Tom Mitchell,Chair
Leila Wehbe,Eduard Hovy,Non-chair
Leila Wehbe,Cosma Shalizi,Non-chair
Leila Wehbe,Leila Wehbe,Non-chair
Tzu-Kuo Huang,Jeff Schneider,Chair
Tzu-Kuo Huang,Ziv Bar-Joseph,Non-chair
Tzu-Kuo Huang,Geoffrey Gordon,Non-chair
Tzu-Kuo Huang,Jeff Schneider,Chair
Tzu-Kuo Huang,Ziv Bar-Joseph,Non-chair
Tzu-Kuo Huang,Geoffrey Gordon,Non-chair
Carl Doersch,Ruslan Salakhutdinov,Chair
Carl Doersch,Ruslan Salakhutdinov,Chair
Hai-Son Le,Ziv Bar-Joseph,Chair
Hai-Son Le,Roni Rosenfeld,Non-chair
Hanzhang Hu,Ruslan Salakhutdinov,Chair
Hanzhang Hu,Ruslan Salakhutdinov,Chair
Ahmed Hefny,Geoffrey Gordon,Chair
Ahmed Hefny,Eric Xing,Non-chair
Ahmed Hefny,Geoffrey Gordon,Chair
Ahmed Hefny,Eric Xing,Non-chair
Sashank Jakkam Reddi,Geoffrey Gordon,Chair
Shing-hon Lau,Roy Maxion,Chair
Shing-hon Lau,Tom Mitchell,Non-chair
Felipe Trevizan,Manuela Veloso,Chair
Felipe Trevizan,Reid Simmons,Non-chair
Felipe Trevizan,Manuela Veloso,Chair
Felipe Trevizan,Reid Simmons,Non-chair
Alona Fyshe,Tom Mitchell,Chair
Alona Fyshe,Marcel Just,Non-chair
Alona Fyshe,Byron Yu,Non-chair
Alona Fyshe,Tom Mitchell,Chair
Alona Fyshe,Marcel Just,Non-chair
Alona Fyshe,Byron Yu,Non-chair
Mladen Kolar,Eric Xing,Chair
Mladen Kolar,Aarti Singh,Non-chair
Mladen Kolar,Larry Wasserman,Non-chair
Mladen Kolar,Eric Xing,Chair
Mladen Kolar,Aarti Singh,Non-chair
Mladen Kolar,Larry Wasserman,Non-chair
Mary McGlohon,Geoffrey Gordon,Chair
Mary McGlohon,Geoffrey Gordon,Chair
Madalina Fiterau-Brostean,Artur Dubrawski,Chair
Madalina Fiterau-Brostean,Geoffrey Gordon,Non-chair
Madalina Fiterau-Brostean,Artur Dubrawski,Chair
Madalina Fiterau-Brostean,Geoffrey Gordon,Non-chair
Wooyoung Lee,Geoffrey Gordon,Chair
Andrew Arnold,William Cohen,Chair
Andrew Arnold,Tom Mitchell,Non-chair
Andrew Arnold,William Cohen,Chair
Andrew Arnold,Tom Mitchell,Non-chair
Alnur Ali,Sivaraman Balakrishnan,Chair
Alnur Ali,Ameet Talwalkar,Non-chair
Alnur Ali,Ryan Tibshirani,Chair
Jurij Leskovec,Christos Faloutsos,Chair
Jurij Leskovec,Christos Faloutsos,Chair
